ID,name,latitude,longitude,mean_checkin_time,review,category
888,Stage Door Canteen,29.9433191121,-90.0698655099,17.0,We came to see the Frank Sinatra tribute show - very fun and entertaining.  The food was also quite good for a buffet.,Nightlife
1569,Tabasco Country Store,29.9582067,-90.0625793,18.0,Everything Tabasco you can find it there.  Didn't know there was so much varieties of hot sauce with samples.  The garlic and chipotle flavors were the best.  The little tiny tabasco bottles were awesome little souvenirs for people at home as a joke.  Great little place to go while in the French Quarter its basically across to street from Café Du Monde and Jackson Square.,Shopping
2630,Ruby Slipper Cafe,29.952838,-90.0660548,16.0,"Almost tripped on the floor. Food is ok, but a bit overpriced for brunch (12-15 for main dishes). Service was average, but suggested tip 18-25% is too high",Restaurants
641,Ashe Cultural Arts Center,29.9392308,-90.0802231,2.0,"This place is nice and simple.  Been here a few times for special events, attracts a great crowd.  On an up and coming street that is fun to visit.  Great to see a place working hard for a cause.",Shopping
1325,French Quarter Grill,29.959478,-90.061063,3.5,"I couldn't figure out whether to add this review under Mississippi River Bottoms bar because it's located at the same address.  It's run independently, though; or so I was told.  French Quarter Grill is only reachable by walking through MRB bar and into the courtyard.   According to the gentleman who took my order, FQG is run separately even though it's only accessible via the bar.  Weird.  To further highlight that,  I was told I would need to get my own drink at the bar, pay for it there, and then bring it into the courtyard where I could then give them my food order and pay for it separately.    Aside from being a little confusing for a novice visitor (like me), I like this place.  I liked the bar, too, it was dive-y and down to earth, although I didn't spend any real time in it.  The courtyard is pretty small, shaded in parts, with only a few tables available.   The food is okay, reasonably priced, and served quickly.  The owner's three-legged dog kept me company for a few moments, staring at me while I ate my crawfish, but I was advised not to feed him table scraps as in true dog fashion, he would start sitting at the table with everyone eating outside.  They didn't want him to start that habit.    I enjoyed this place.  I'd definitely come back here in lieu of the nearby busier tourist traps.   French Quarter Grill is a cash only place, so come prepared.",Restaurants
3322,Cocoally,29.9587090331,-90.0636122994,19.0,"Such an adorable boutique with lots of options for littles to adults. My son is obsessed with opossums so we were beyond excited to see that they love them as well! Not a opossum fan? They have ALL sorts of cute designs! We were quick to order a Mardi Gras opossum shirt which they would easily ship to our home. After little opossum talk, we went on our way! Once home, I added them on social media and saw that they also had a new opossum Mardi Gras shirt! They offered to switch designs without me even asking. Due to a mix up, the original design was shipped and before it even arrived, I received a message informing me of the mix up and assuring me that the correct one would also be sent and to keep both as a token of appreciation. Now that's customer service and I literally have the happiest 3 year old in the history of toddlers! Thank you so much for everything and we will definitely be back and recommend to everyone else too!",Shopping
214,Dollar General,30.0066381,-90.0760637,14.0,Sadist behind counter sadist behind the counter indeed. want to be treated like crap?  come shop here.,Shopping
3248,RHINO Contemporary Crafts Co.,29.9303891,-90.0750933,19.0,"What an awesome store to walk around in! I was captivated by the pieces of handmade art made by local artists, and the prices range from $25 to the hundreds. The pieces are really cool, colorful, and inspiring. The two people working in the store are two of the artists whose pieces are featured, and their work was actually my favorite! I wish I could order things from their website to ship to NY. Anyone walking around on Canal or in the vicinity of the mall should visit and support their local artists.",Shopping
3016,Jasmine Private Club,29.9529587,-90.072352,6.0,Club is closed Really had some good times here. This was a very good open minded diverse club. 3rd floor was the place to be.... it you never been this was one of the best social spots to go.,Shopping
688,Mike Serio's Poboys,29.9525565,-90.0697679,18.0,"Like a fool, I left my expensive camera behind in a booth, and then didn't notice for many hours. God bless the honest employees at Serio's who found my camera and kept it safe. I was irresponsible for not keeping track of my stuff, and I'm so thankful that they're more together than I am.   Also, the shrimp po boy was awesome.",Restaurants
918,Fat Tuesday,29.9584761,-90.0659362,17.0,Love to grab one and walk around French quarter. 190 octane is tasty! Can't finish a large - get a decent buzz about halfway through when you add an extra shot.,Nightlife
3548,Lotus Bistro,30.005871,-90.115906,18.0,Great new sushi spot in Lakeview not to be missed. Unique tasty rolls and keto friendly options. Distinct flavors that make this place special.  I almost don't want to share it is that good!!!,Restaurants
1201,Cafe Henri,29.9639853134,-90.0435576136,17.0,"We ended up staying across the street from Cafe Henri, so it was an easy dinner spot. 3 out of the 6 of us got the chicken sandwich. They have all sworn that it is the best chicken sandwich they have ever had and always tell people about it.   The other meals and drinks were all terrific as well. Also, the waiter was attentive and personable. It was an all around great dining experience for our group of 6.",Restaurants
2495,QUEORK,29.9589047,-90.0623432,20.0,"Interesting concept and I did manage to buy a wallet for the bf since they claimed that the cork material is waterproof. It seems to be holding up well so far.   The only disappointing thing I experienced when I was in the store was that everything I wanted was out of stock. I could have bought more, but I felt like none of the shoes in my size were in stock, along with the dog leash, etc. Although I could wait for it to get back in stock in their online store (since I don't live in New Orleans), it's not exactly the same because I like to see and touch it in person if I'm in the store.",Shopping
190,Lost and Found,29.9548432,-90.0664376,19.0,I fell in love with this boutique the second I walked in. There were so many great pieces of clothing to try on. I ended up getting all my skirts and dresses for this warm season. The quality of all my threads has held up thus far. I highly recommend you to at least pop in here if you're strolling around French Quarter!,Shopping
1910,The Box Spot,29.972856461,-90.0629748148,17.0,"Delicious wings, crispy on the outside and tender in the middle. Yum. Tried the Siracha and Hot version. Both were good, not hot at all, but super delicious. Highly recommend.",Restaurants
692,Discoveries Furniture & Finds,29.9576793,-90.0708457,18.0,"Very nice, eclectic furnishings and accessories. Didn't get the best service while I was there, but the guy did seem to be on a business call, and sometimes those things can't wait. Overall, I liked their selection, but a lot of it was either identical or very similar to the selection at Nadeau and was, at least, 40% more expensive than Nadeau.  Bottom line- It's all beautiful and, if you live in the area and need the convenience, this is the only place I'd shop. Just know that you can get the same things for less about 2-3 miles away.",Shopping
395,Laurel Street Bakery,29.951622,-90.099832,15.0,"This is a great little neighborhood cafe. They offer baked goods, sandwiches and breakfast sandwiches, salads and a variety of coffees and tea. Their bagels aren't the best in the city, but they are soft and tasty.   I really like their breakfast sandwiches. My favorite is the American - egg, bacon, tomato and American cheese on an everything bagel. I also like the salads here - fresh ingredients, generous portions and a great value at $8 each.   The space is very clean, nice and bright, well organized and seating is usually plentiful. They have wifi and it's a nice space to work in for a while too.",Restaurants
1762,Foot Locker,29.9533346523,-90.0700964,20.0,The ladies here were extremely nice and friendly.  They were more than happy to assist us.  They were very helpful.  I bought sneakers for my daughter and I.  Love our sneakers.,Shopping
2856,Forever New Orleans,29.9549859,-90.0672408,17.0,"Awesome store!!!!  So many wonderful products from scarves to kitchen serving items to premium t shirts, and cute jewelry.  Oh and the art and wooden items.  You have to stop by!!!  I'm marking in my yelp app so I can go back.",Shopping
1522,The Blind Pelican,29.9375996,-90.0760819,19.0,"First and last time eating here....  I held my self for a week before i wrote this review/comment. Having said that if any one out there feels compelled not to be a patron of an establishment who's owner believes that its ok to shout out derogatory comments in regards to race and ethnicity well read on ..   I visited Samuel's Blind Pelican on Oct. 13th during their happy hour. The Chard Oysters where good only complain could be the sandy crunchy taste at the end. The bartender was great..! she was very attentive. I ended up staying till the first quarter of the Monday night game.   My unfortunate encounter with the Pelican's owner happen the following thursday after visiting the neighboring restaurant. The Pelicans owner stood on the side walk 10 feet from where i was having lunch. He called the city to inquire if the restaurant (tacos and beer) had acquired the proper permits to have a TV on the front patio. He began to spew derogatory comments and racial slurs about the current owners to a buddy of his. Loud enough for all to hear. I was actually shocked and was lost for words.  He then looked at me and made a comment. I believe he thought i was an employee of the restaurant. Once he did, I couldn't help but to say something. It was awful what came out this mans mouth. He continued to shout racial comments from the steps of his restaurant to the Tacos and Beer owner. The cops where called. I was asked by the restaurant if i would stay to speak to the officers.    What makes me sick to my stomach is to know that i was also a patron of this establishment. I can not believe that there are people out there who still believe is fine to use use such derogatory comments in regards to race. He had no care of those around him. The Officers asked me if i was willing to press charges against the Pelicans owner for disturbing the peace. He was also told by officers that after that rant he could be charged for a hate crime against the neighboring restaurant for calling the city and heckling their clientele.   no one should condone the use of race or ethnicity as a shortcoming...",Restaurants
781,Catahoula Rooftop Bar,29.9516963,-90.073235,14.0,Stop into this hidden bar with a friend on a bike tour of Happy Hours around the city. Catahoula offers cocktails you may not find anywhere else in NOLA with its Peruvian influences. Though the cocktails are still rather expensive even during the happy hour compared to other happy hours the fact that they are not your typical sazerac makes up for it. The food menu is pretty good for happy hour with half price off appetizers. The star of the show is the upstairs rooftop bar. Very cool as you dont off see roofs used much in the hot climate of New Orleans.,Nightlife
2817,The Art of Dr. Seuss,29.9550767356,-90.0678979875,20.0,"Very welcoming staff whom allowed to take a good look, take pics and answered questions....    The art is truly beautiful and charming... The pictures simply don't do it justice...",Shopping
812,Broad & Banks Seafood,29.9629749,-90.0894069,17.0,I am from New Orleans and this place has the BEST gumbo in the city!!  Every time my friends come from out of town they want to go straight here for gumbo.   Everything else is great too.  If you want great food at a great place this is the place to go.,Restaurants
2265,Cajun Cabin,29.9572555,-90.0670177,10.5,"A friend of mine picked this place for our large group and it is a perfect spot for tourists. The food isn't authentic and it's overpriced, but they put on a good show. However, the music was good, the drinks were strong, and they even let the guests play the washboard. After a couple of drinks, ANYONE thinks they can play the washboard.  If you are looking for GOOD food, this is not the place. If you are looking for something to eat and you don't want to venture far from the bars on Bourbon, this might fit the bill.",Restaurants
1514,Kerry Irish Pub,29.9542180822,-90.0650175029,5.0,"An excellent Guinness pour. The bartender took his time. The place is a little dingy, as it should be. Jukebox has classic rock. They have live music most nights, though I've never been. A fine selection  of whiskey as well.",Nightlife
2842,Domino's Pizza,29.9768413,-90.0977035,16.5,"I've ordered pizza from these guys three times. Twice, they no called/no showed. This Domino's location has the reliability level of a drug-addled Tinder date. Seriously, exhaust every other option and only order from here if you absolutely must. They seriously suck even as a last resort. Remember, Bud's Broiler is always open.",Restaurants
110,Raising Cane’s,30.0059929425,-90.0335249736,18.0,"OK sooooooooooooooooo I'm not a chicken eater; as a result this review will be about the service on the 1st day of opening:  Signs provided a countdown to the opening, I found this to be a plus, no need to stalk the building, you know. AnyWHO, on opening day, in the drive thru, I found the cashiers to be efficient, friendly (speaking to my 11month old niece), timely &  swift in their transactions. I placed two separate food orders, one for my granny & my sister.   Pricing was fair, you can get a whole meal &  drink for less than $7; one of those 3 chicken fingers deals; that's cool, I've become so accustomed to $10+ for fast food meals until I was pleasantly surprised at this event.   The lemonade is very tasty &  since I only got a sip of my sister's, I vowed to return for my own.   As stated, the drive thru line moved rather swiftly considering this was the 1st day; I was impressed.   Only thing I would've liked to see was the store set a little more off the street because the drive thru line hung out into the street making passing as I exited a very difficult feat.   Glad it's here in the area; adds to the community in many ways.",Restaurants
3114,Dop Antiques & Architecturals,29.962383,-90.135227,20.0,"Very large space (20,000 square feet) with a variety of pieces (many of which are pretty cool), but seems a bit overpriced.  They did say they are open to negotiating, but in general, prices seemed 30-50% more than expected.  That said, given the huge inventory, I'll probably end up buying something here at the end of the day.",Shopping
2556,Abeille NOLA,29.949845,-90.133258,18.0,"There is nothing I could say negatively about Abeille NOLA. Located on Oak St in New Orleans Abeille NOLA offers cute, fun, AND affordable clothing, accessories, and SHOES for anyone in NOLA.   From tank tops, to dresses, blazers, skirts, and tops - Abeille NOLA has something for everyone. They also feature great trunk shows regularly and strive to always have excellent customer service. You are created promptly and warmly by whomever is working and assisted for all your shopping needs. This also isn't one of those boutiques where you have to hold things and juggle your options - they start a fitting room for you so you can browse worry free!   I always leave Abeille NOLA feeling happy with my purchases, never doubting what I bought. My biggest love for this place? They don't care if you try on 200 different things in 4 different sizes, over and over - they also will help you decide what works with what, etc.   Also a perk? Shoeffle' just opened up inside Abeille NOLA - now you can pick out great tops and outfits THEN get some shoes and/or handbags to go with your things!   Be sure to check out Abeille NOLA on Facebook - they are always posting new stuff in the store and fun fashion posts!",Shopping
3272,Zèle NOLA,29.9259384,-90.0836017,19.0,"Danger Will Robinson. An artisan indoor swap meet, which will tug at your heart, and your wallet :)  I absolutely love Nurhan Gokturk's space. I am returning tomorrow, and it going to cost me!  Zèle NOLA. Five Stars.",Shopping
229,Le Booze,29.9556739,-90.0678204,4.0,"Nice bar to relax, smoke a cigar and enjoy a drink. My bartender, Adrian, made me a fantastic dirty martini.",Restaurants
1601,Weed World Candies,29.9539923,-90.0667482,8.5,"This place sucks ass and employs liars. We asked every question you should ask at a dispensary, and were blatantly lied to about the THC content. Shit sucks. Go to a gas station and buy CBD there.",Shopping
218,The Governor,29.9544553,-90.0667755,13.0,It's was okay service was a bit on the interesting side as the person was new. Food presentation was good though they need to either add rice or more potato salad to the gumbo. Sprite was flat but I didn't need it anyways.,Restaurants
2883,Brennan Dickie & Co,29.952883,-90.068173,18.0,One of our favorite restaurants in NOLA (maybe our #1fav). Everything is exquisite -even the freaking kids meals (something I NEVER order for my kids-but these are goooood). You have to have the crab cheese cake! The cheese platters are huge!! Presentation is amazing and so are the drinks.  Beware: it's easy to over order here; the portions are large and the menu is great!,Restaurants
3095,Needlework Vault,29.9977401,-90.1109188,16.5,"The shop ladies were friendly and helpful.  Selection of mostly cotton, which is understandable considering the warm climate.  But, knowing all the cotton yarns available (I work in a yarn store in WI) I was disappointed to see how limited their cotton selection was, mostly worsted weight.  There is so much more out there in cotton yarn:  lace, fingering, sport, DK and even bulky!  Their yarns and notions are not stickered with prices.  By the way, they also have a small selection of needlepoint canvases, of which I know very little, so I feel I must not comment on that.",Shopping
2911,Holly's Tamales,29.9682679,-90.0326531,17.0,"Holly's Tamales are on point. If you see her rolling around on her bike, it is a great treat while doing your thing in New Orleans. I also love the various options of tamales depending on the season. A must try when in New Orleans.",Restaurants
462,Mona's Cafe,29.9626308,-90.0578342,17.0,"Beggars can't be choosers. One of my favorite cuisines is Middle Eastern, so when you have a taste for lamb and Hommos, I was going to eat anyway!  It's quite a large space, and with over 16 tables, and yet at 7 PM there are six of us in here.  The three German cockroaches that were dancing under my feet the entire meal are an indication of their comfort level. This place hasn't seen a professional cleaner in years.  I really enjoyed the lamb dish, however the bread was not fresh ( it would be acceptable if you were serving this dish at home, but not at a restaurant). So the stars go to the lamb.   At the end of the meal I asked for coffee, which was served slightly warm at best. I asked the waitress to get me a hot coffee, and the answer was that they would need to remake another pot  For it to be served hot. That was as far as the conversation goes....  Shame .... I gave a 10% tip and also wrote ""tips"" on the receipt.",Restaurants
1904,Swiss Confectionery,29.976991,-90.092955,16.0,Ordered a birthday cake to be delivered to our hotel for my boyfriend as a surprise and everything worked out. He loved the cake - the flavor was very good (almond cake with white icing). The only small down side is that the cake was kind of crumbly but I am assume it is made this way so that the cake remains soft and fluffy.,Restaurants
2221,Cafe Beignet - St. Peter,29.958186,-90.065142,16.0,"Really friendly gentleman assisting me today.  I was greeted with a smile, very welcoming and prompt.",Restaurants
2280,Thai Mint,29.9493849,-90.1276515,17.0,"Great location and delicious food. Tried the spicy basil fried rice with beef at lunch. Descent sized portion, also comes with a spring roll for under $10! Food had flavor which is good, could have been spicier since it was called ""spicy basil fried rice"" but I guess the baseline is purposely bland to cater to the regular uptown crowd.  Next time will ask them to make the dish as they would for a thai person. Overall great food, good service, will return.",Restaurants
1899,Mopho,29.9835238904,-90.1052539051,17.0,"MoPho was recommended to me by son who is a chef.  Very unimposing location, but the food was fabulous.  Highly recommend the spring rolls, oysters, the must-order chicken wings, and any of the pho options.  Delicious milk chocolate pudding with caramelized bananas.  Give the ""adult"" blended boba drinks a try too...fantastic.",Restaurants
1385,Erin Rose,29.9565666,-90.0679341,16.0,Amazing gulf shrimp poboy also by with some tasty Louisiana brews! Came in during the Saints game so there was great energy. Small space but definitely worth it. Very unique decor and bomb food!,Nightlife
2444,SWEGS Kitchen - Benson Towe,29.95091119,-90.0785159692,18.0,"I like Swegs a lot. If you're watching what you eat, their food is healthy as you will find in New Orleans and the portions make sense. I like their salmon and zucchini noodles the most. The salads make a nice accompaniment. They also sell fresh fruit and other good snacks. Calories are listed on almost everything, which is helpful. I stop in once a week.",Restaurants
2345,Revel Cafe and Bar,29.9753673,-90.1001874,3.5,"Great for drinks, but... food appears to now be a huge disappointment. Crawfish grilled cheese had good flavors but zero cheese that actually reached the crust. It was basically a texas toast hot pocket for $12. Gulf shrimp salad didn't remotely meet the description on the menu. It was just lettuce and grilled shrimp. ""Balsamic dressing"" we were offered was just two tiny containers of balsamic vinegar and oil. Fries, which were solid as hell when they first opened, reminded me of Wendy's... which isn't the worst, I guess... but not for $4. Certainly an edible meal, given we still ate most of it, but I was hoping to be able to rely on this place for the occasional bar food bite within walking distance. Probably will only go back for cocktails. Maybe an off night?",Restaurants
2881,Gumbo File,29.9551223,-90.0644494,18.0,Love the store but do they have a website.......can't find it if they do. Need to get a shirt but don't want to drive to nola. O the number is also wrong.,Shopping
3553,Izzo's Illegal Burrito,29.9404201119,-90.0622065921,18.0,"I'm sitting here in my hotel about 2 hours after eating 3 ground beef tacos from Izzo's Illegal Burrito, and I am so sick I can barely stand it. Serious food poisoning, and all I can say is the name fits them well as they probably should be illegal for selling the crap that they call food. Definitely would NOT recommend. Too bad, as the food court location on the river walk is a really nice location.",Restaurants
1368,Bargain Center,29.9639599,-90.0433618,18.0,"Awesome shop, variety and eccentric is top of the key.  There is something for what whatever you might be looking for.",Shopping
1849,Effervescence,29.9634452,-90.0654254,5.0,Was so excited to take my champagne loving friend here! The decor is great! Love the restroom! Haha! The food we tried was great too! My only negative comment is about our bartender.  We needed assistance choosing a flight and she was so put out and annoyed that we were asking for her help. I will go back but will avoid her. Definitely go try!!,Restaurants
3061,Holiday Inn New Orleans-Downtown Superdome,29.952996,-90.074968,14.0,". My room was large, very nice, and very clean. The staff was extremely friendly and helpful. Best of all the bed was very comfortable and they gave you choices on the firmness of your pillow. Wifi worked perfectly and am very happy.  Wasn't very impressed by the room service food coming from the restaurant in the lobby though but that is a different review.",Restaurants
2982,Hanks Supermarket,29.9685111,-90.049592,7.5,"Recently changed ownership.  Now offering AMAZING Meditteranean food (Palestinian).  Ask for a plate - they will make you spicy and delicious schwarma, kebabs, humus, spinach pies for a reasonable price (unlike most places in the bywater).   I live next door and I hardly cook for myself any more.",Restaurants
2492,Glass Magick,29.9575164,-90.06566,19.0,"Dawna is truely a remarkable artist!   Over the years, I have accumulated many of her works of art! Her stained glass works are one of a kind and not many artists do what she does today.   Her shop has some spectacular pieces in it, she has available pieces from different local artists (shop local) and at affordable prices!  The shop is nestled in between Bourbon Street and Royal Street. Please make sure that you make this shop one of your stops when visiting NOLA!",Shopping
1199,Danny's Seafood,29.9207187,-90.1052723,20.0,Delicious shrimp po' boys. Can't wait to try the bun and chicken. I am just a shrimp po' boy lover so it is hard for me to pull myself away.,Restaurants
242,"Laurel Oak, Southern Brasserie",29.9510212,-90.0685271,16.0,Stopped in for a late meal on Sunday night.  They did a great job. We had a shrimp cocktail and a burger.  Nothing fancy right? Shrimp were in a get mix of sauce and pickled veggies.  Burger was tasty and cook food.    The Star was the duck fat fried French fries. We ate every single one and would have eaten MORE.,Restaurants
1119,Theo's Neighborhood Pizza,29.9738573,-90.1003987,16.0,I was pleasantly surprised by how delicious the pizza was at Theo's. The crust and sauce were so buttery smooth and divine. Like nothing I've ever tasted...And the beer selection is quite cultured. That's all i tasted there but definitely worth a repeat visit.,Restaurants
2079,House Stuff,29.9776296,-90.0958398,19.0,NICE NICE stuff. Owner is very polite. Reasonable pricing. I'm stopping by this store everyday! Lol,Shopping
961,Southern Paws,29.9572117,-90.0651335,18.5,"If you're looking for a toy your dog will love and not be able to tear to shreds at first bite, this is the place.  The toys are adorable beyond words and the staff is very friendly and interested in your pup too.",Shopping
3258,The Camellia Grill,29.943899,-90.133927,16.0,Missed Marvin this time around. Really enjoyed the chocolate shake. Went later in the day than I normally had in the past. Best time to go is as soon as they open. If you're lucky enough to catch Marvin working then you're in for a treat! He's definitely entertaining!,Restaurants
2522,Louisiana Products,29.9455989,-90.0710452,17.0,"I walked in here at 10:30 am starving. Instead of telling me that they don't serve lunch until 11, the gentleman behind the counter began telling me what he COULD do for me. I walked out with a cup of piping hot red beans and a smile.",Restaurants
1120,Av Tree Farms,29.965383,-90.190696,19.0,"If you're looking for something out of the ordinary, look no further. I've lusted for a blue flocked tree for 3 years & I finally gave in. I love it. I also purchased a wreath.  One thing that I didn't know...the flocked trees come with their own metal stand....and they don't have to be watered. Super awesome.",Restaurants
226,Webb's Bywater Music,29.9650405,-90.042596,19.0,"Great service - fixed an amp I thought wasn't worth bothering with for next to nothing - in a couple of hours to boot! I didn't have a look at much of the merchandise but it looked like cool used stuff and plenty of new accessories  (sticks, heads, strings, cables, etc). My guess is this is the best mom and pop store in Nola.",Shopping
2286,P & G Restaurant & Bar,29.9514706,-90.0729795,16.0,"Take it from the Duke, best breakfast deal in the area. Get out of your hotel and eat where the hard working LA go for grub.  Clean, friendly staff.  True breakfast food for a great price.",Restaurants
3427,Orleans Coffee House,29.9398338,-90.0797504,16.5,This is a nice little coffee and deli space inside the Zeitgeist movie space that also has a hair salon upstairs.  They have been expanding their selection from some simple items like pastries and donuts to more lunch sandwich options.  There is a great deal of space inside to hang out or get work done and it is actually a comfortable spot that also provides plenty of meter free parking in the area.,Restaurants
3221,Crescent City Farmers Market: Saturday Market,29.9462911764,-90.0727557683,15.0,"The best place to buy fresh fruit & vegetables, artisan prepared foods, seafood, and all sorts of other stuff (depending on the season).  I never get to the Tuesday mid-day market at Uptown Square (curse work and my need for a paycheck).  I mostly hit the Saturday market on Girod.  There is also a Thursday evening market at the American Can Company.  Good stuff!",Restaurants
2986,Oxalis,29.9639649,-90.0436317,2.0,"CAJUN POPCORN! It was the first thing I ate when I landed in New Orleans and it remained one of my favorite things that we are over the weekend. Sounds basic but it was way beyond popcorn sprinkled with cayenne and paprika.   The ambiance was great for a relaxed night drinking creative and well-made cocktails. The bartender, though initially somewhat removed, offered great suggestions on what to do in the city.   Definitely worth a stop in!",Restaurants
2748,Easy Pizza,29.946372,-90.089365,6.0,"You're in New Orleans. It's 2:30 in the morning and you're in your hotel room, starving. What to do? Uber Eats and Easy Pizza to the rescue!  We didn't want anything fancy. Sometimes the simplest things are the best. A piping hot, cheesy, delicious pepperoni pizza was delivered quickly, and two of us devoured it. It was SO. DANG. GOOD.  Seriously. I had my doubts. I mean just the other night we went to IHOP at around the same time, and it was not a fun time. So. If you're on the fence about this place for whatever reason, just do it! You won't be disappointed.",Restaurants
1610,Oriental Triangle Chinese,29.9560503,-90.1769075,3.0,"This was my first time here and it was a quiet Chinese restaurant. There were not many people eating for a Friday night.  We had a table of 5 and were seated right away and presented with menus.   We placed our drink order and perused the menu. I don't eat chimes very often so I felt a bit lost and the menu did not explain anything about what the dishes were or how prepared (fried verses sautéed)  The server was very polite and accommodating to our table and answered All of our questions about the dishes.   We all ordered combination dinners which came with the entree, soup, egg roll and fried rice. The prices were around 10 dollars so a sweet price for all the food.   Some things that were ordered were:  Shrimp with garlic  sauce. This had a great taste and was not fried and came with vegetables also.   Shrimp with lobster sauce.  The shrimp was sautéed and not fried with this dish. This can in a deep dish and was the consistency of a gumbo. It was good but I would not order again because I wasn't into the soupy gumbo type dish.   Mandarin chicken was fried and had some kind of sauce on the top. The sauce wasn't sweet not spicy. I only took a bite of this but could not tell you what kind of taste it had. Resembled chicken fried steak with gravy type sauce on top.   #tonsoffood",Restaurants
1734,Canal Street Grill,29.9525749,-90.0684186,16.0,"2/5 boo-linary  i don't get how a hotel restaurant can be so underwhelming. the place was empty, that should have been the sign to turn around. but we were already there. it started with some cornbread, which was exciting, only they were dry and cold, almost like they were leftover from a breakfast buffet or something. i went with the soup which was lukewarm, again seemed like things were just being reheated. my fish was nicely colored and tasted fine, but the rice beneath and the mixed vegetables - same thing: lukewarm and seemed old. i've had better, more fresh, and more warm food from our building's 3rd floor cafeteria. my colleagues ordered the steak - neither of which were medium or rare. cooked through and grey and sad. there was a max of 3 tables through the time we ate, but the entire thing took forever, just seems like there are some kitchen issues overall.",Restaurants
3449,Walgreens,29.9564985323,-90.0632357597,16.0,"This Walgreens location was kind of a god-send during my trip to New Orleans. Now, that's not saying this place is stellar by any means, I'm just saying it was near my hotel and had most of what I needed.  Surprisingly it's not open 24 hours. But not surprisingly is that it has a little bit of a ratchet feel to it. It's kind of dingy, but I can only imagine the things this Walgreen's has seen.  I stopped here throughout my trip for an umbrella, some 5hr energy (which they were out of), protein bars, water, and some snacks.  The line was long, but I survived. It's not the coziest place, but it's got what you need for the most part and it's right next to a daiquiri bar so I guess that gives it some points, right?",Shopping
823,Po-Breaux's,29.9638073,-90.0578579,4.0,"Mozzarella sticks, chicken parm, sweet hot chicken sandwich were really good  The gumbo and the pork belly adobo sandwich were really really salty so I'd stick to anything fried on the menu",Restaurants
1840,The Chart Room,29.9542635,-90.0664927,7.0,"As an expert bar diver, this place rates among the best.  Real, authentic, no BS jolly good time. I'll come back every time we visit NOLA!",Nightlife
